,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tw,reply,length
27864,27864,27864,27864,27864,28163,7,1431373856141312001,1431373856141312001,1630101095000.0,2021-08-27 17:51:35,-400,,ANGRY ? HUNGRY ? YES IM HANGRY  https://t.co/N7AWhAFcRe,en,[],[],1256662146013782016,1256662146013782016,JOONSAM0R,nana⁷ ★ MEGTAN 👅,5,17,https://twitter.com/JOONSAM0R/status/1431373856141312001,[],['https://pbs.twimg.com/tweet_video_thumb/E91C7ZVVcAMlcoh.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91C7ZVVcAMlcoh.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,ANGRY ? HUNGRY ? YES IM HANGRY,False,7
27683,27683,27683,27683,27683,27981,1838,1431354806740955138,1431294727501066241,1630096553000.0,2021-08-27 16:35:53,-400,,@Schnenko  https://t.co/rGZGlcVyet,und,[],[],2169830437,2169830437,AwesomeParendt,Müppi,5,16,https://twitter.com/AwesomeParendt/status/1431354806740955138,[],['https://pbs.twimg.com/tweet_video_thumb/E90xmyRWYAcNjxa.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90xmyRWYAcNjxa.jpg,False,1,0,0,,.gif,,,,,,,[],,,,,,False,0
3859,3859,3859,3859,3859,3899,1881,1431097699391180801,1431095209425833984,1630035254000.0,2021-08-26 23:34:14,-400,,@SkyNews  https://t.co/xiNWBGxBD0,und,[],[],255555931,255555931,hero_of_sky,rev,4,23,https://twitter.com/hero_of_sky/status/1431097699391180801,[],['https://pbs.twimg.com/tweet_video_thumb/E9xHxEkWYAYawL4.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xHxEkWYAYawL4.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
44912,44912,44912,44912,44912,45366,1162,1431481643831676935,1431480017280651272,1630126794000.0,2021-08-28 00:59:54,-400,,@Ananya371 🤗🙏🏻  https://t.co/rlmiBvTopi,und,[],[],1248638071504945152,1248638071504945152,Kuldeepgarg1981,कुलदीप Aggarwal🍀🌼,6,0,https://twitter.com/Kuldeepgarg1981/status/1431481643831676935,[],['https://pbs.twimg.com/tweet_video_thumb/E92k9YgVIAEWXo6.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92k9YgVIAEWXo6.jpg,False,1,0,0,,.gif,,,,,,,"[{'screen_name': 'Ananya371', 'name': 'P@P@_Ki_लाडो👸', 'id': '1177283608253321217'}]",,,,,🤗🙏🏻,True,1
47585,47585,47585,47585,47585,48068,1850,1431499028877877248,1431336565586989059,1630130939000.0,2021-08-28 02:08:59,-400,,@pollen196  https://t.co/CmoWKeKAfc,und,[],[],810454,810454,jcynavarro,Mr. Navarro,6,2,https://twitter.com/jcynavarro/status/1431499028877877248,[],['https://pbs.twimg.com/tweet_video_thumb/E920xsOUUAAIUgr.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E920xsOUUAAIUgr.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
31927,31927,31927,31927,31927,32261,100,1431403974129766400,1431403031996899329,1630108276000.0,2021-08-27 19:51:16,-400,,@c_mendoza_7  https://t.co/ZMa91MDyFI,und,[],[],3233888922,3233888922,_abimaels,Ab🦦,5,19,https://twitter.com/_abimaels/status/1431403974129766400,[],['https://pbs.twimg.com/tweet_video_thumb/E91eUtTX0AU0eAU.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91eUtTX0AU0eAU.jpg,False,0,0,0,,.gif,,,,,,,[],,,,, mendoza 7,False,2
20683,20683,20683,20683,20683,20915,808,1431307684641390592,1431296784937242630,1630085319000.0,2021-08-27 13:28:39,-400,,@ASUKADETAILS sera q o arthur ele vai  https://t.co/xzH1kDq6GW,pt,[],[],1363937757089914880,1363937757089914880,jucayaka,endereçado a lia,5,13,https://twitter.com/jucayaka/status/1431307684641390592,[],['https://pbs.twimg.com/tweet_video_thumb/E90Gv2lXoAYlG9v.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90Gv2lXoAYlG9v.jpg,False,0,1,0,,.gif,,,,,,,"[{'screen_name': 'ASUKADETAILS', 'name': 'endereçado a Laura', 'id': '757981980390809601'}]",,,,,sera q o arthur ele vai,True,6
14463,14463,14463,14463,14463,14627,565,1431267026341879809,1431267026341879809,1630075625000.0,2021-08-27 10:47:05,-400,, https://t.co/QRscrq2xoD,und,[],[],2420899561,2420899561,COYS1986,Ash,5,10,https://twitter.com/COYS1986/status/1431267026341879809,[],['https://pbs.twimg.com/tweet_video_thumb/E9zhxUMXsAQI8Iv.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zhxUMXsAQI8Iv.jpg,False,0,0,0,https://twitter.com/SumonM21/status/1430733371773128708,.gif,,,,,,,[],,,,,,False,0
31584,31584,31584,31584,31584,31917,1758,1431379666770747395,1431379666770747395,1630102480000.0,2021-08-27 18:14:40,-400,,"@erekinarin ご参加ありがとうございます😃  結果は… ごめんなさい、ハズレです😢  8/29(日)まで毎日チャレンジ‼️  そして！ Instagramでも同時開催中🌈 フォローしてキャンペーン投稿をいいねすると、ニトリ商品券2,000円分が抽選で当たる😍  詳細▶ https://t.co/LmMlr8TyTA  https://t.co/bcpEDj1QKt",ja,[],[],911047687679516672,911047687679516672,NitoriOfficial,NITORI,5,18,https://twitter.com/NitoriOfficial/status/1431379666770747395,['https://bit.ly/3zGXunA?t=1630102480784'],['https://pbs.twimg.com/tweet_video_thumb/E9ywoRZXsAANAHM.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9ywoRZXsAANAHM.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,"ご参加ありがとうございます😃 結果は… ごめんなさい、ハズレです😢 8/29(日)まで毎日チャレンジ‼️ そして！ Instagramでも同時開催中🌈 フォローしてキャンペーン投稿をいいねすると、ニトリ商品券2,000円分が抽選で当たる😍 詳細▶",False,8
30881,30881,30881,30881,30881,31208,1049,1431379744080211971,1431379744080211971,1630102499000.0,2021-08-27 18:14:59,-400,,Today would’ve been one of those days  where I pour myself a large glass of wine  https://t.co/5zlCEXVfJS,en,[],[],1213568467464409088,1213568467464409088,Ness_Natural,Ness,5,18,https://twitter.com/Ness_Natural/status/1431379744080211971,[],['https://pbs.twimg.com/tweet_video_thumb/E91ISd8XEAYZrYT.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91ISd8XEAYZrYT.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,Today would’ve been one of those days where I pour myself a large glass of wine,False,16
29294,29294,29294,29294,29294,29607,1451,1431373680051998722,1431357863608397825,1630101053000.0,2021-08-27 17:50:53,-400,,@so_ferrari_CARP  https://t.co/fa1nutxJ4U,und,[],[],261559831,261559831,_Iviss_,Ivanna Cuello,5,17,https://twitter.com/_Iviss_/status/1431373680051998722,[],['https://pbs.twimg.com/tweet_video_thumb/E91CxQkXIAAnJa4.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91CxQkXIAAnJa4.jpg,False,0,0,0,,.gif,,,,,,,[],,,,, ferrari CARP,False,2
47092,47092,47092,47092,47092,47567,1349,1431499150814760960,1431492522975629315,1630130968000.0,2021-08-28 02:09:28,-400,,@Ieichuu son las mejores truchas  https://t.co/qOQxTYFtFA,es,[],[],3865909574,3865909574,IsaacPepinazo,Isaac 愛,6,2,https://twitter.com/IsaacPepinazo/status/1431499150814760960,[],['https://pbs.twimg.com/tweet_video_thumb/E9201R5WYAMnYxi.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9201R5WYAMnYxi.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'Ieichuu', 'name': '︎', 'id': '3370066384'}]",,,,,son las mejores truchas,True,4
36175,36175,36175,36175,36175,36546,371,1431435092350550016,1431235680148107269,1630115695000.0,2021-08-27 21:54:55,-400,,@BigChanTheDon  https://t.co/8GiqXxXKd9,und,[],[],1024394463739699200,1024394463739699200,asiahorne3,A'sia Horne,5,21,https://twitter.com/asiahorne3/status/1431435092350550016,[],['https://pbs.twimg.com/tweet_video_thumb/E916oLHVQAQbcPs.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E916oLHVQAQbcPs.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
14231,14231,14231,14231,14231,14391,329,1431267045501513736,1430605509065940998,1630075629000.0,2021-08-27 10:47:09,-400,,@justafatguy33 @archambeaum3 I have to agree but feel a bit bad about it  https://t.co/oTGCrs8SSs,en,[],[],1259088932618276866,1259088932618276866,PeterVa83547757,Brimstonewin #blacklivesmatter,5,10,https://twitter.com/PeterVa83547757/status/1431267045501513736,[],['https://pbs.twimg.com/tweet_video_thumb/E9zhyeOXIAErqu-.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zhyeOXIAErqu-.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'justafatguy33', 'name': 'Fatguy', 'id': '1418925983248359438'}, {'screen_name': 'archambeaum3', 'name': 'Mike Archambeau #OnePride DetroitLionsVsEverybody', 'id': '888773089798098944'}]",,,,,I have to agree but feel a bit bad about it,True,11
20314,20314,20314,20314,20314,20541,434,1431307723803611138,1431306704109510658,1630085328000.0,2021-08-27 13:28:48,-400,,@noedgetowatch  https://t.co/RUCSUNUgMb,und,[],[],324033596,324033596,Scottyplagues,Scottyplagues,5,13,https://twitter.com/Scottyplagues/status/1431307723803611138,[],['https://pbs.twimg.com/tweet_video_thumb/E90GyCnXMAcsv_H.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90GyCnXMAcsv_H.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
25775,25775,25775,25775,25775,26053,1922,1431338222244745216,1431336958953992194,1630092599000.0,2021-08-27 15:29:59,-400,,@Dianna_2Ns @phish  https://t.co/lwJHQJhPZA,und,[],[],21160098,21160098,TweeterReprise,Stage Banter Guy Fieri,5,15,https://twitter.com/TweeterReprise/status/1431338222244745216,[],['https://pbs.twimg.com/tweet_video_thumb/E90ihktXsAYBIx1.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90ihktXsAYBIx1.jpg,False,2,0,0,,.gif,,,,,,,"[{'screen_name': 'Dianna_2Ns', 'name': 'Sally_2Ls', 'id': '67117740'}]",,,,, 2Ns,True,1
10592,10592,10592,10592,10592,10706,656,1431231294105690116,1430940850880659459,1630067106000.0,2021-08-27 08:25:06,-400,,@kalpelekoreec @Iamtilek Я реалист  https://t.co/cj4wWPnUF8,uk,[],[],1389927765869203459,1389927765869203459,berikkuantro,Berikkuantro,5,8,https://twitter.com/berikkuantro/status/1431231294105690116,[],['https://pbs.twimg.com/tweet_video_thumb/E9zBRWnWUAQSK9e.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zBRWnWUAQSK9e.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'kalpelekoreec', 'name': 'Пак', 'id': '1364463984703864840'}, {'screen_name': 'Iamtilek', 'name': '𝕳𝖆-𝖘𝖍𝖆-𝖘𝖍𝖎𝖓🐲', 'id': '839152489895235584'}]",,,,,Я реалист,True,2
4126,4126,4126,4126,4126,4172,136,1431145760859566080,1431145186776731649,1630046713000.0,2021-08-27 02:45:13,-400,,@ThreadsOfALife Goedemorgen!! Bijna weekend😊  https://t.co/A9J5VyJ7fI,nl,[],[],1236031590792335362,1236031590792335362,nhensie,Netelroosje🌺,5,2,https://twitter.com/nhensie/status/1431145760859566080,[],['https://pbs.twimg.com/tweet_video_thumb/E9xzevqWYAEXw2M.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xzevqWYAEXw2M.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'ThreadsOfALife', 'name': 'Claudia', 'id': '24062732'}]",,,,,Goedemorgen!! Bijna weekend😊,True,3
37290,37290,37290,37290,37290,37674,1499,1431434949177974784,1431425709600395265,1630115661000.0,2021-08-27 21:54:21,-400,,@Evan_Gossett  https://t.co/ADlmFq9fh9,und,[],[],15319233,15319233,visionsaul,νιѕισηѕαυℓ,5,21,https://twitter.com/visionsaul/status/1431434949177974784,[],['https://pbs.twimg.com/tweet_video_thumb/E916fy8XsAEVixy.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E916fy8XsAEVixy.jpg,False,0,0,0,,.gif,,,,,,,[],,,,, Gossett,False,1
3054,3054,3054,3054,3054,3088,1070,1431097811320426498,1431055800802365447,1630035281000.0,2021-08-26 23:34:41,-400,,@HipHopHippi  https://t.co/Cq1BV0wLbt,und,[],[],4899446052,4899446052,NotAstaflex,ASTAFLEX,4,23,https://twitter.com/NotAstaflex/status/1431097811320426498,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH30SXoAEwvZ_.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH30SXoAEwvZ_.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
12556,12556,12556,12556,12556,12696,639,1431244630188724231,1431155455993139201,1630070285000.0,2021-08-27 09:18:05,-400,,@adibhazlami  https://t.co/5gjjW4KyBV,und,[],[],1230538993852280832,1230538993852280832,wolfipali,P A L I,5,9,https://twitter.com/wolfipali/status/1431244630188724231,[],['https://pbs.twimg.com/tweet_video_thumb/E9zNZqWVQAAmvri.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zNZqWVQAAmvri.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
10527,10527,10527,10527,10527,10641,591,1431231301504356353,1431104747575119872,1630067107000.0,2021-08-27 08:25:07,-400,,@yolimar_virguez  https://t.co/k3uHjJKaLl,und,[],[],128703633,128703633,danilotelloo,Mr. Donregalonydinosaurio,5,8,https://twitter.com/danilotelloo/status/1431231301504356353,[],['https://pbs.twimg.com/tweet_video_thumb/E9zBRqLWEAMYaYU.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zBRqLWEAMYaYU.jpg,False,0,0,0,,.gif,,,,,,,[],,,,, virguez,False,1
33035,33035,33035,33035,33035,33376,1215,1431403837026443275,1431403837026443275,1630108243000.0,2021-08-27 19:50:43,-400,, https://t.co/vFuPU9albC,und,[],[],1378843355811962883,1378843355811962883,EmSpiritCity,Emma,5,19,https://twitter.com/EmSpiritCity/status/1431403837026443275,[],['https://pbs.twimg.com/tweet_video_thumb/E91eMuSWEAciS8Z.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91eMuSWEAciS8Z.jpg,False,0,0,0,https://twitter.com/B5Q/status/1431402600587571200,.gif,,,,,,,[],,,,,,False,0
13330,13330,13330,13330,13330,13478,1421,1431244540929789952,1431244540929789952,1630070264000.0,2021-08-27 09:17:44,-400,, https://t.co/kk1OxQwuyV,und,[],[],1428169237986791433,1428169237986791433,contactpaget,Contactpaget,5,9,https://twitter.com/contactpaget/status/1431244540929789952,[],['https://pbs.twimg.com/tweet_video_thumb/E9zNUeUX0AEmRFT.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zNUeUX0AEmRFT.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
10834,10834,10834,10834,10834,10952,902,1431231265517326341,1430607057703559170,1630067099000.0,2021-08-27 08:24:59,-400,,@Godzy69 @ParkHoppin @Drunk3P0 @HAWTToys @Nerdrotics  https://t.co/vxG2XDPXam,und,[],[],2321842897,2321842897,DjMirnum,Amy Shen,5,8,https://twitter.com/DjMirnum/status/1431231265517326341,[],['https://pbs.twimg.com/tweet_video_thumb/E9zBPjEXEAQkaVA.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zBPjEXEAQkaVA.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'Godzy69', 'name': 'Rogue Disney', 'id': '84193136'}, {'screen_name': 'ParkHoppin', 'name': 'ParkHoppin - Geeks + Gamers', 'id': '1221264253254021120'}, {'screen_name': 'Drunk3P0', 'name': '😇Drunk3P0 😇', 'id': '1007486304408555520'}, {'screen_name': 'HAWTToys', 'name': 'HvB', 'id': '1418744369687973893'}]",,,,,,True,0
40573,40573,40573,40573,40573,40979,787,1431457125390331907,1431457125390331907,1630120948000.0,2021-08-27 23:22:28,-400,,y la chona se mueve #mexinoche  https://t.co/abQXAswa5k,es,['mexinoche'],[],1335438123929645056,1335438123929645056,xxsovcalmxx,Cantinflas,5,23,https://twitter.com/xxsovcalmxx/status/1431457125390331907,[],['https://pbs.twimg.com/tweet_video_thumb/E92OqixX0AkRoWL.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92OqixX0AkRoWL.jpg,False,1,0,0,,.gif,,,,,,,[],,,,,y la chona se mueve mexinoche,False,6
38608,38608,38608,38608,38608,39003,828,1431449871064748036,1431362756935143427,1630119218000.0,2021-08-27 22:53:38,-400,,@SAlvare1Az  https://t.co/zhTEtFwGdG,und,[],[],1278401622956261382,1278401622956261382,aamg580,🌻A(V)Y 🖤🐾,5,22,https://twitter.com/aamg580/status/1431449871064748036,[],['https://pbs.twimg.com/tweet_video_thumb/E92IEVAXsAQfkQs.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92IEVAXsAQfkQs.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
37817,37817,37817,37817,37817,38208,33,1431449978866569222,1431443628820418568,1630119244000.0,2021-08-27 22:54:04,-400,,@AzafranConMiel Depende quién sea el que te besa!! Jajaja  https://t.co/Mvc5JGc5Z7,es,[],[],1049410291,1049410291,moisherna71,moisés,5,22,https://twitter.com/moisherna71/status/1431449978866569222,[],['https://pbs.twimg.com/tweet_video_thumb/E92IKjBUcAAdLb5.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92IKjBUcAAdLb5.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'AzafranConMiel', 'name': 'Azafrán con Miel', 'id': '254937567'}]",,,,,Depende quién sea el que te besa!! Jajaja,True,8
35610,35610,35610,35610,35610,35974,1813,1431416567309479939,1431378176748437515,1630111278000.0,2021-08-27 20:41:18,-400,,@modernluxuries  https://t.co/gBH6EywxJE,und,[],[],24528540,24528540,matthewlee7,"Matt, the Dentist 👨🏻‍⚕️🦷⚒️",5,20,https://twitter.com/matthewlee7/status/1431416567309479939,[],['https://pbs.twimg.com/tweet_video_thumb/E91px0WWEAA3K3E.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91px0WWEAA3K3E.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
17738,17738,17738,17738,17738,17944,1868,1431270912167346177,1431270912167346177,1630076551000.0,2021-08-27 11:02:31,-400,, https://t.co/zSzzKYXUWm,und,[],[],1078934419744841728,1078934419744841728,billionsreason,iceD🍀,5,11,https://twitter.com/billionsreason/status/1431270912167346177,[],['https://pbs.twimg.com/tweet_video_thumb/E9zlTbkVIAQUucm.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zlTbkVIAQUucm.jpg,False,0,0,0,https://twitter.com/ygent_official/status/1431270396867723274,.gif,,,,,,,[],,,,,,False,0
46356,46356,46356,46356,46356,46826,608,1431499298940891136,1431253918542090240,1630131003000.0,2021-08-28 02:10:03,-400,,@kthzguk @vantegifs @BTS_twt  https://t.co/T81Sa2JtlX,und,[],[],1246996054354116609,1246996054354116609,kthboo,ؘtau,6,2,https://twitter.com/kthboo/status/1431499298940891136,[],['https://pbs.twimg.com/tweet_video_thumb/E921BSRX0AEpD5z.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E921BSRX0AEpD5z.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'kthzguk', 'name': 'sofi', 'id': '1230994785479118850'}, {'screen_name': 'vantegifs', 'name': 'vante 💗🧈', 'id': '1258591168490807299'}]",,,,, twt,True,1
